AUH_K562
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	1.000000	0.000000	0.000000	1.000000
1.000000	0.000000	0.000000	1.000000	1.000000	0.000000
0.150000	0.237500	0.162500	0.162500	0.225000	0.212500
0.175000	0.262500	0.200000	0.225000	0.225000	0.225000
0.300000	0.262500	0.225000	0.237500	0.225000	0.187500
0.212500	0.150000	0.187500	0.187500	0.187500	0.125000
0.050000	0.000000	0.037500	0.012500	0.000000	0.050000
0.000000	0.000000	0.012500	0.012500	0.000000	0.000000
0.112500	0.087500	0.175000	0.162500	0.137500	0.200000
